Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM1881762,"H1N1 DEE3 Subject 1, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881762/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881763,"H1N1 DEE3 Subject 1, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881763/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881764,"H1N1 DEE3 Subject 2, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881764/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881765,"H1N1 DEE3 Subject 2, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881765/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881766,"H1N1 DEE3 Subject 2, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881766/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881767,"H1N1 DEE3 Subject 2, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881767/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881768,"H1N1 DEE3 Subject 2, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881768/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881769,"H1N1 DEE3 Subject 2, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881769/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881770,"H1N1 DEE3 Subject 2, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881770/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881771,"H1N1 DEE3 Subject 2, Hour 45","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881771/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881772,"H1N1 DEE3 Subject 2, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881772/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881773,"H1N1 DEE3 Subject 2, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881773/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881774,"H1N1 DEE3 Subject 2, Hour 69","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881774/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881775,"H1N1 DEE3 Subject 2, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881775/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881776,"H1N1 DEE3 Subject 2, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881776/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881777,"H1N1 DEE3 Subject 2, Hour 93","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881777/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881778,"H1N1 DEE3 Subject 2, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881778/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881779,"H1N1 DEE3 Subject 2, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881779/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881780,"H1N1 DEE3 Subject 2, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881780/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881781,"H1N1 DEE3 Subject 2, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881781/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881782,"H1N1 DEE3 Subject 2, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881782/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881783,"H1N1 DEE3 Subject 2, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881783/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881784,"H1N1 DEE3 Subject 3, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881784/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881785,"H1N1 DEE3 Subject 3, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881785/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881786,"H1N1 DEE3 Subject 3, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881786/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881787,"H1N1 DEE3 Subject 3, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881787/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881788,"H1N1 DEE3 Subject 3, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881788/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881789,"H1N1 DEE3 Subject 3, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881789/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881790,"H1N1 DEE3 Subject 3, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881790/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881791,"H1N1 DEE3 Subject 3, Hour 45","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881791/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881792,"H1N1 DEE3 Subject 3, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881792/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881793,"H1N1 DEE3 Subject 3, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881793/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881794,"H1N1 DEE3 Subject 3, Hour 69","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881794/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881795,"H1N1 DEE3 Subject 3, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881795/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881796,"H1N1 DEE3 Subject 3, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881796/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881797,"H1N1 DEE3 Subject 3, Hour 93","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881797/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881798,"H1N1 DEE3 Subject 3, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881798/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881799,"H1N1 DEE3 Subject 3, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881799/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881800,"H1N1 DEE3 Subject 3, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881800/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881801,"H1N1 DEE3 Subject 3, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881801/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881802,"H1N1 DEE3 Subject 3, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881802/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881803,"H1N1 DEE3 Subject 3, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881803/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881804,"H1N1 DEE3 Subject 4, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881804/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881805,"H1N1 DEE3 Subject 4, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881805/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881806,"H1N1 DEE3 Subject 4, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881806/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881807,"H1N1 DEE3 Subject 4, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881807/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881808,"H1N1 DEE3 Subject 4, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881808/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881809,"H1N1 DEE3 Subject 4, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881809/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881810,"H1N1 DEE3 Subject 4, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881810/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881811,"H1N1 DEE3 Subject 4, Hour 45","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881811/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881812,"H1N1 DEE3 Subject 4, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881812/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881813,"H1N1 DEE3 Subject 4, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881813/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881814,"H1N1 DEE3 Subject 4, Hour 69","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881814/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881815,"H1N1 DEE3 Subject 4, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881815/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881816,"H1N1 DEE3 Subject 4, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881816/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881817,"H1N1 DEE3 Subject 4, Hour 93","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881817/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881818,"H1N1 DEE3 Subject 4, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881818/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881819,"H1N1 DEE3 Subject 4, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881819/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881820,"H1N1 DEE3 Subject 4, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881820/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881821,"H1N1 DEE3 Subject 4, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881821/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881822,"H1N1 DEE3 Subject 4, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881822/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881823,"H1N1 DEE3 Subject 4, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881823/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881824,"H1N1 DEE3 Subject 5, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881824/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881825,"H1N1 DEE3 Subject 5, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881825/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881826,"H1N1 DEE3 Subject 5, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881826/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881827,"H1N1 DEE3 Subject 5, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881827/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881828,"H1N1 DEE3 Subject 5, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881828/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881829,"H1N1 DEE3 Subject 5, Hour 29","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881829/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881830,"H1N1 DEE3 Subject 5, Hour 36","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881830/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881831,"H1N1 DEE3 Subject 5, Hour 45","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881831/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881832,"H1N1 DEE3 Subject 5, Hour 53","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881832/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881833,"H1N1 DEE3 Subject 5, Hour 60","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881833/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881834,"H1N1 DEE3 Subject 5, Hour 69","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881834/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881835,"H1N1 DEE3 Subject 5, Hour 77","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881835/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881836,"H1N1 DEE3 Subject 5, Hour 84","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881836/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881837,"H1N1 DEE3 Subject 5, Hour 93","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881837/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881838,"H1N1 DEE3 Subject 5, Hour 101","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881838/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881839,"H1N1 DEE3 Subject 5, Hour 108","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881839/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881840,"H1N1 DEE3 Subject 5, Hour 118","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881840/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881841,"H1N1 DEE3 Subject 5, Hour 125","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881841/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881842,"H1N1 DEE3 Subject 5, Hour 142","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881842/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881843,"H1N1 DEE3 Subject 5, Hour 166","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881843/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881844,"H1N1 DEE3 Subject 6, Hour -21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881844/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881845,"H1N1 DEE3 Subject 6, Hour 0","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881845/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881846,"H1N1 DEE3 Subject 6, Hour 5","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881846/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881847,"H1N1 DEE3 Subject 6, Hour 12","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881847/suppl",,"Alfred Hero","Jun 22, 2016"
GSM1881848,"H1N1 DEE3 Subject 6, Hour 21","RNA","Homo sapiens",1,GPL14604,GSE73072,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1881nnn/GSM1881848/suppl",,"Alfred Hero","Jun 22, 2016"
